Transaction ID,Date,Time,Amount,Merchant,Card Number,Transaction Type
1,2023-01-01,18:57:48,936.6804910819219,Target,2451,purchase
2,2023-01-02,12:06:07,722.4618398138985,Walmart,5505,refund
3,2023-01-03,11:50:13,33.86843321879818,Walmart,1128,refund
4,2023-01-04,12:44:51,426.51999914930735,Amazon,7267,purchase
5,2023-01-05,05:54:03,94.80057413456835,Amazon,3471,purchase
6,2023-01-06,11:39:53,978.5689981126433,Target,1386,purchase
7,2023-01-07,23:58:13,575.6372576647899,Amazon,2222,purchase
8,2023-01-08,15:17:06,644.034409344529,Best Buy,3947,purchase
9,2023-01-09,22:21:11,365.0982217426798,Target,9973,refund
10,2023-01-10,22:29:26,668.0471739826065,Amazon,1884,refund
11,2023-01-11,13:30:00,572.271794489007,Amazon,8499,refund
12,2023-01-12,10:58:32,774.9087916097175,Best Buy,9048,refund
13,2023-01-13,14:37:00,900.2020288772765,Target,1656,refund
14,2023-01-14,22:16:26,404.9022197825053,Walmart,2214,refund
15,2023-01-15,04:44:49,895.4497688053644,Target,8560,refund
16,2023-01-16,08:57:10,66.01739896154169,Walmart,9219,refund
17,2023-01-17,05:16:23,685.7919036374499,Amazon,5998,refund
18,2023-01-18,22:54:17,231.8389808807118,Walmart,5650,purchase
19,2023-01-19,01:55:21,539.3296348917543,Target,3692,refund
20,2023-01-20,10:46:44,773.2619411936533,Amazon,8144,refund
21,2023-01-21,18:48:19,746.8377039122123,Walmart,4817,purchase
22,2023-01-22,19:36:48,721.7086800320639,Walmart,9591,refund
23,2023-01-23,10:26:59,483.40873095870876,Target,2980,refund
24,2023-01-24,02:11:17,194.8287928138962,Amazon,8717,purchase
25,2023-01-25,23:19:26,206.3607563182221,Amazon,5614,purchase
26,2023-01-26,00:31:11,535.9327885463142,Walmart,3874,purchase
27,2023-01-27,20:18:55,438.37643737296474,Walmart,2945,purchase
28,2023-01-28,00:41:36,975.0148224642683,Walmart,2612,purchase
29,2023-01-29,13:19:14,301.523101829082,Best Buy,5146,purchase
30,2023-01-30,06:51:15,79.89093947570964,Amazon,1177,refund
31,2023-01-31,08:52:01,727.1510878303001,Walmart,2436,refund
32,2023-02-01,00:13:17,975.448710271917,Walmart,3497,refund
33,2023-02-02,13:50:11,782.3072878486997,Amazon,4692,refund
34,2023-02-03,19:05:55,247.7981668433823,Best Buy,3439,refund
35,2023-02-04,22:26:22,37.52442464410014,Amazon,3736,refund
36,2023-02-05,22:44:17,407.5150094815349,Best Buy,5590,purchase
37,2023-02-06,14:34:49,877.8730376038653,Target,2174,refund
38,2023-02-07,23:31:05,432.5617905729292,Amazon,1782,purchase
39,2023-02-08,11:31:44,284.8020488682138,Amazon,9511,purchase
40,2023-02-09,13:51:06,935.3665839985617,Target,2877,refund
41,2023-02-10,23:23:32,772.4933175139723,Amazon,5660,purchase
42,2023-02-11,03:15:23,611.3755214186657,Target,1391,purchase
43,2023-02-12,12:11:30,3.674393962361922,Best Buy,4108,purchase
44,2023-02-13,04:53:11,931.5735286543996,Amazon,8878,refund
45,2023-02-14,16:09:06,674.1635058905766,Target,3452,refund
46,2023-02-15,16:28:20,225.2424714633088,Walmart,3598,purchase
47,2023-02-16,19:52:37,25.728326037174476,Best Buy,7532,refund
48,2023-02-17,05:33:26,8.460849427173933,Best Buy,1251,refund
49,2023-02-18,00:59:20,927.4751489825145,Walmart,9974,purchase
50,2023-02-19,17:08:33,693.4596502112535,Walmart,5839,refund
51,2023-02-20,12:37:24,705.4423930984407,Target,7159,purchase
52,2023-02-21,12:55:22,596.468925091076,Walmart,8640,refund
53,2023-02-22,05:45:37,537.6984188957473,Amazon,9846,refund
54,2023-02-23,07:57:27,456.1229822083138,Target,7026,purchase
55,2023-02-24,17:02:33,600.5930159736068,Best Buy,5854,purchase
56,2023-02-25,22:16:03,654.4278495549949,Amazon,8428,purchase
57,2023-02-26,03:22:14,373.66673748245256,Amazon,1564,refund
58,2023-02-27,16:48:55,668.5657389763278,Best Buy,4893,purchase
59,2023-02-28,13:18:03,457.42776242853245,Amazon,1835,refund
60,2023-03-01,23:55:07,85.98174250517424,Best Buy,4452,refund
61,2023-03-02,17:36:00,233.9405774274087,Best Buy,3236,refund
62,2023-03-03,14:23:31,82.29034701900122,Best Buy,3557,refund
63,2023-03-04,02:43:01,322.6953184295465,Best Buy,7679,purchase
64,2023-03-05,05:22:20,611.7160927774233,Target,7172,purchase
65,2023-03-06,07:34:17,368.2585472128371,Amazon,4649,purchase
66,2023-03-07,04:31:38,726.5009559123258,Walmart,2092,purchase
67,2023-03-08,03:26:12,678.3813508018005,Target,6156,refund
68,2023-03-09,01:13:40,145.54644832421405,Walmart,8509,purchase
69,2023-03-10,23:03:11,168.87447884661194,Target,7130,purchase
70,2023-03-11,17:14:39,65.3710098005102,Amazon,8743,refund
71,2023-03-12,22:11:00,265.06842519376426,Best Buy,2316,purchase
72,2023-03-13,01:56:52,349.0083963309344,Walmart,9043,purchase
73,2023-03-14,02:36:36,89.15999133276041,Target,7569,purchase
74,2023-03-15,01:05:18,602.6269477194495,Amazon,3961,refund
75,2023-03-16,02:35:59,714.6613645709342,Amazon,7431,purchase
76,2023-03-17,12:17:39,158.06487868716633,Target,9698,purchase
77,2023-03-18,06:31:22,342.79537509460926,Best Buy,6100,purchase
78,2023-03-19,04:12:07,727.5226564224527,Target,1178,refund
79,2023-03-20,10:20:37,663.6546062764545,Target,9976,refund
80,2023-03-21,22:08:21,854.6055680649341,Target,8964,purchase
81,2023-03-22,02:25:52,555.0487856054799,Best Buy,4199,purchase
82,2023-03-23,22:14:01,26.73070307005314,Walmart,9651,refund
83,2023-03-24,19:48:51,58.263303331644956,Target,1160,purchase
